episode/Q-Error,epoch,epoch_reward_history,hp_metric,step
,0,-146.93988037109375,-272.4631652832031,5
,1,-117.04718780517578,-241.3799591064453,11
,2,-70.93891906738281,-212.97311401367188,17
,3,-125.38980102539062,-200.46121215820312,23
,4,-23.031766891479492,-178.28253173828125,29
,5,-181.5692138671875,-178.64772033691406,35
,6,-91.26972961425781,-169.90992736816406,41
,7,-105.01606750488281,-164.01048278808594,47
1.2238184444985514,8,,,49
,8,-330.4102478027344,-177.87713623046875,53
,9,-172.240478515625,-177.44354248046875,59
,10,-105.79357147216797,-172.32568359375,65
,11,-110.36865234375,-168.19522094726562,71
,12,-53.73221969604492,-161.04127502441406,77
,13,-109.26004791259766,-157.99533081054688,83
,14,-113.16854095458984,-155.50494384765625,89
,15,45.52421188354492,-144.92446899414062,95
0.4955049447156916,16,,,99
,16,-204.12124633789062,-147.88430786132812,101
,17,-105.76844787597656,-145.8787841796875,107
,18,-156.0177459716797,-146.3396453857422,113
,19,-88.05882263183594,-143.80569458007812,119
,20,-194.5823516845703,-145.92140197753906,125
,21,-185.15994262695312,-147.49093627929688,131
,22,-65.57206726074219,-144.3402099609375,137
,23,-285.9379577636719,-149.58457946777344,143
0.547625564565541,24,,,149
,24,-138.4356231689453,-149.1864013671875,149
,25,-253.04873657226562,-152.76785278320312,155
,26,-82.0928955078125,-150.41201782226562,161
,27,-285.8126525878906,-154.77978515625,167
,28,-226.63002014160156,-157.0251007080078,173
,29,-31.319381713867188,-153.21583557128906,179
,30,-273.7701110839844,-156.7615509033203,185
