episode/Q-Error,epoch,epoch_reward_history,step
5.0634323888285095,0,,49
10.044162270332448,0,,99
4.411712633543521,0,,149
4.005127473326605,0,,199
9.857732665762844,0,,249
4.8038671313576415,0,,299
,0,-66.83950805664062,312
6.608299808607267,1,,349
4.58500927241392,1,,399
5.10275878347351,1,,449
1.3532431643076397,1,,499
5.932332673848944,1,,549
1.991117998562011,1,,599
,1,-199.84963989257812,625
7.616627244373508,2,,649
1.9064707627249864,2,,699
3.2723397305288815,2,,749
5.745882344910537,2,,799
5.52972012273981,2,,849
3.8994640110174386,2,,899
,2,-119.06144714355469,938
2.1357981087450644,3,,949
5.474178701649962,3,,999
2.33836165699462,3,,1049
3.512888723576963,3,,1099
